22,151
137,192
70,175
61,43
138,174
8,40
171,7
15,174
42,199
197,119
161,103
68,97
76,34
196,71
62,86
174,171
103,7
47,27
80,170
116,36
82,157
11,4
75,2
90,150
98,17
174,93
81,117
148,118
82,40
116,35
178,189
181,51
0,37
136,163
159,188
94,72
83,161
37,3
91,64
21,73
144,45
173,44
111,80
89,186
59,129
144,40
54,81
58,92
176,159
4,38
66,126
190,109
123,102
10,120
79,144
26,18
18,43
91,132
16,136
139,119
147,150
104,30
43,54
18,1
102,145
27,132
59,182
7,17
54,63
121,9
70,169
106,114
102,125
21,10
190,125
76,39
19,85
91,115
21,160
66,69
84,8
17,134
116,94
159,35
36,73
78,152
15,130
48,177
43,190
128,117
33,7
11,177
68,187
112,174
91,91
195,94
197,51
124,62
151,172
197,7
